match_title,open_date,sales_amount,sales_share,audience_count,screen_count,kobis_search_year,kobis_rank,kobis_movie_code,kobis_movie_type,tmdb_rank,tmdb_original_title,tmdb_release_date,tmdb_release_year,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,tmdb_genre_ids,tmdb_genres,tmdb_runtime,tmdb_tagline,tmdb_budget,tmdb_revenue,tmdb_production_companies,tmdb_cast,tmdb_directors,tmdb_keywords,tmdb_poster_url
효자동 이발사,2004-05-05,0,0.0,1972377,65,2004,14,20040483,전체,784,효자동 이발사,2004-05-05,2004,1.2252,7.075,40,36|18|35,역사|드라마|코미디,116,가장 소박한 아버지의 가장 특별한 감동을 만난다,0,0,Barunson E&A|Chungeorahm Film|Cineclick Asia,송강호(Seong Han-mo)|이재응(Seong Nak-an)|문소리(Kim Min-ja)|Roh Hyung-wuk(Young Seong Nak-an)|류승수(Jin-ki)|조영진(President)|손병호(Jang Heok-su)|Park Yong-su(Park Jong-man)|Yoon Ju-sang(Mr. Choi)|정규수(Mr. Wang),임찬상,"barber|korea president|democratization movement|park chung-hee|seoul, south korea",https://image.tmdb.org/t/p/original/2PquLRzzEy2ECFHHfN2DesI7lw3.jpg
알포인트,2004-08-20,0,0.0,1689000,42,2004,17,20040613,전체,184,알포인트,2004-08-13,2004,3.062,6.6,186,28|36|27,액션|역사|공포,107,우린 적이 아닌 귀신과 싸웠다,0,0,C&Film|Cinema Service,감우성(Lieutenant Choi Tae-in)|손병호(Sergeant Jin Chang-rok)|박원상(Sergeant Cook)|오태경(Sergeant Jang Young-soo)|이선균(Sergeant Park)|손진호(Sergeant Oh)|문영동(Corporal Byun)|정경호(Corporal Lee Jae-pil)|김병철(Corporal Joh Byung-hoon)|기주봉(Captain Park),공수창,vietnam war|vietnam|tombstone|soldier|korean army,https://image.tmdb.org/t/p/original/ljZebL8Mw3731ZNUNr3owRfqgkr.jpg
주홍글씨,2004-10-29,0,0.0,1437549,76,2004,20,20040671,전체,424,주홍글씨,2004-10-29,2004,1.9141,6.375,48,53|9648|80|10749,스릴러|미스터리|범죄|로맨스,119,가질 수 없는 사랑일 수록 탐이 난다,0,0,LJ Film|Showbox,한석규(Lee Ki-hoon)|이은주(Choi Ga-hee)|성현아(Ji Kyung-hee)|엄지원(Han Su-hyun)|김진근(Jung Myung-sik)|최규환(Detective Choi)|도용구(President Han)|정윤서(Madame)|Jun Hyun-Sook(Mesa Store Owner)|김중기(Priest),변혁,infidelity|police|detective|investigation|murder|mistress|mature,https://image.tmdb.org/t/p/original/fDOpMqHdIdqspY0VCm6UKazhv3C.jpg
그녀를 믿지 마세요,2004-02-20,0,0.0,1204000,43,2004,24,20040446,전체,503,그녀를 믿지 마세요,2004-02-20,2004,1.397,6.712,52,35|10749,코미디|로맨스,115,애정빙자 사기극 | 이 여자를 사기죄로 고발합니다! 어머머머... 난 사랑이었어!!! |,0,0,Cinema Service,김하늘(Joo Young-ju)|강동원(Choi Hee-chul)|이천희(Youg-deok)|송재호(Hee-chul's Father)|명지연(Hwa-sook)|김재록(Thief)|임하룡|이재구|박건태|남상미(Jae-eun),배형준,,https://image.tmdb.org/t/p/original/qCoqJbeZjJpB3DEEI6kfB1RdGdA.jpg
여선생 VS 여제자,2004-11-17,0,0.0,1175580,55,2004,25,20040657,전체,888,여선생 VS 여제자,2004-11-17,2004,1.347,5.7,10,35,코미디,109,,0,0,Fun and Happiness Film|CJ Entertainment,염정아(Yeo Mi-ok)|이세영(Go Mi-nam)|이지훈(Kwon Sang-choon)|변희봉(Mr. Principal)|나문희(Mi-ok's mother)|임원희(Man in TV drama)|이원종(Traffic cop (uncredited))|차승원,장규성,,https://image.tmdb.org/t/p/original/h877LjHySsLXBy1vXfwoRxjIYDm.jpg
아는 여자,2004-06-25,0,0.0,838000,40,2004,33,20040583,전체,997,아는 여자,2004-06-25,2004,1.1095,6.7,34,10749|35,로맨스|코미디,107,눈높이 특이한 여자의 눈치코치 없는 러브 스토리,0,0,Film It Suda|Cinema Service,정재영(Dong Chi-sung)|이나영(Han Yi-yeon)|임하룡(Police Captain)|장영남(Woman in Accident)|정규수(Dr. Noah)|김혜나(Ju Yoo-won)|오승현(Chi-sung's Ex-girlfriend)|박미숙(Sales Clerk)|이민정(Yi-yeon's Friend)|김혜정(Yi-yeon's Mother),장진,,https://image.tmdb.org/t/p/original/4UTndEY587vby9RYGU0Jn0dgsmX.jpg
인형사,2004-07-30,0,0.0,339038,15,2004,48,20040614,전체,951,인형사,2004-08-06,2004,1.2235,6.028,71,27,공포,90,,0,0,Filma Pictures,임은경(Mi-na)|김유미(Hae-mi)|심형탁(Tae-seong)|옥지영(Yeong-ha)|임형준(Jeong-ki)|Lee Ka-yeong(Sun-young)|천호진(Director Choi),정용기,killing|evil doll,https://image.tmdb.org/t/p/original/dW0K1rcVqoshuD1ImxyOgGAab13.jpg
여자는 남자의 미래다,2004-05-05,0,0.0,284872,36,2004,49,20040489,전체,524,여자는 남자의 미래다,2004-05-05,2004,1.75,6.167,66,18|10749,드라마|로맨스,88,7년만에 내 남자들이 나를 찾아왔다,0,0,UniKorea Pictures|MK2 Films|Miracin Korea,유지태(Lee Munho)|성현아(Park Seonhwa)|김태우(Kim Hyunjoon)|오유진(Pretty Woman)|Uhm Soo-jung(Yoga Woman)|Min Young(Taxi Woman)|김난휘(Chinese Restaurant Employee)|Bae Yun-beom(Student)|박승배(Student)|박희은(Student),홍상수,man woman relationship,https://image.tmdb.org/t/p/original/u4gaC3MrsO5q8jitELBqmb5Fe5p.jpg
웰컴 투 동막골,2005-08-04,0,0.0,8008622,114,2005,1,20050180,전체,420,웰컴 투 동막골,2005-08-04,2005,1.7652,7.455,201,35|18|10752,코미디|드라마|전쟁,133,가장 치열한 전쟁의 한가운데... 가장 찬란한 순간이 있었다!,8000000,33579813,Film It Suda|Showbox,정재영(Chief Comrade Lee Su-hwa)|신하균(2nd Lt. Pyo Hyun-chul)|강혜정(Yeo-il)|Steve Taschler(Smith)|임하룡(Jang Young-hee)|서재경(Army Medic Mun Sang-sang)|류덕환(Seo Taek-ki)|Jung Jae-jin(Mayor)|조덕현(Teacher Kim)|Hong Ye-In(Dong-ku's Mother),박광현,friendship|nationalism|village|korean war (1950-53)|tragedy|soldier|massacre|military|anti war|korean army|inter-korean relations,https://image.tmdb.org/t/p/original/uIkZzrwrA3gubrvnxpAtnA5BO2t.jpg
친절한 금자씨,2005-07-29,0,0.0,3650000,127,2005,6,20050148,전체,63,친절한 금자씨,2005-07-29,2005,4.6453,7.531,1943,18|53,드라마|스릴러,112,정말이지... 착하게 살고 싶었답니다,0,23803308,TSJ Entertainment|Ilshin Capital Investments|Centurion Investment|Moho Film|CJ Entertainment|CJ Investment,이영애(Lee Geum-ja)|최민식(Mr. Baek)|권예영(Jenny)|김시후(Geun-shik)|남일우(Detective Choi)|김병옥(Preacher)|오달수(Mr. Chang)|이승신(Park Yi-jeong)|김부선(Woo So-young)|라미란(Oh Su-hee),박찬욱,prison|women's prison|revenge|vengeance|waiting for revenge,https://image.tmdb.org/t/p/original/iInNT2yeNA8joH1RSSebUEfLC1x.jpg
너는 내 운명,2005-09-23,0,0.0,3051134,92,2005,8,20050239,전체,359,너는 내 운명,2005-09-23,2005,1.6619,6.153,36,10749|18,로맨스|드라마,123,"고마워요, 사랑해줘서",0,0,Bom Film Productions,전도연(Eun-ha)|황정민(Seok-joong)|나문희(Seok-joong's Mother)|Seo Ju-hee(Kyu-ri)|윤제문(Jae-ho)|정유석(Chun-soo)|고수희(Hwang Yoo-sun)|김부선(Lady Kim)|Lim Jong-yun(In-joong)|Lee Gyeong-a(In-joong's Wife),박진표,,https://image.tmdb.org/t/p/original/b172pdqkGFx68KFfLj2A0eukFGa.jpg
내 생애 가장 아름다운 일주일,2005-10-07,0,0.0,2533103,105,2005,9,20050232,전체,614,내 생애 가장 아름다운 일주일,2005-10-07,2005,1.597,6.529,17,18|10749|35,드라마|로맨스|코미디,129,당신에겐 있나요?,0,0,Soo Film|CJ Entertainment|Doosaboo Film,엄정화(Hur Yu-jung)|황정민(Na Do-chul)|천호진(Jo Jae-kyeong)|임창정(Kim Chang-hoo)|서영희(Ha Seon-ae)|윤진서(Lim Soo-kyung)|김수로(Park Sung-won)|정경호(Yu Jung-hun)|주현(Mr. Kwak)|오미희(Oh Yeo-in),민규동,,https://image.tmdb.org/t/p/original/b7q5jOj90WDCGixEhuYtumSQmOq.jpg
혈의 누,2005-05-04,0,0.0,2274995,98,2005,12,20050076,전체,608,혈의 누,2005-05-04,2005,1.5028,7.05,50,53|9648,스릴러|미스터리,119,"1808 조선, 연쇄살인사건!고립된 섬, 닷새간 예고된 다섯 죽음",0,0,Sidus|Cinema Service|Fun and Happiness Film,차승원(Lee Won-kyu)|박용우(Kim In-kwon)|지성(Du-ho)|윤세아(Kang So-yeon)|최종원(Messenger Choi)|박철민(Jo Dal-ryung)|유해진(Dok-gi)|정규수(Jang Ho-bang)|박충선(Jang Hak-su)|최동준(Lee Ji-sang),김대승,joseon dynasty (1392–1910),https://image.tmdb.org/t/p/original/ksfC2LQ8qRxjFhcvAvFTji439O2.jpg
잠복근무,2005-03-17,0,0.0,1914941,64,2005,14,20050013,전체,613,잠복근무,2005-03-17,2005,1.3224,6.467,46,35|28|80|10749,코미디|액션|범죄|로맨스,111,"여형사 김선아의 학원 잠입 프로젝트 | 2005년 3월, 김선아의 수상한 등교가 시작된다! | 도시락은 장전됐다, 시간표도 확인했다, 교복으로 무장했다, 출동! 학교 다녀오겠습니다~ | 국가가 보장하는 요란한 학생이 온다! | 수업 끝, 출동이닷!",0,0,Filma Pictures|Showbox,김선아(Chun Jae-in)|공유(Kang No-young)|남상미(Seung-hee)|김상호(Detective Kang)|노주현(Detective Chun)|홍수아(Jo Hye-ryung)|오광록(Bae Doo-sang)|Moon Seo-yeon(So-young)|박상면(Class Teacher)|김갑수(Cha Young-jae),Park Kwang-chun,high school|undercover cop|high school student|criminal investigation,https://image.tmdb.org/t/p/original/8slleMUAZ8zdqwDwLJWndsrDKkv.jpg
작업의 정석,2005-12-21,0,0.0,1672862,75,2005,17,20050330,전체,927,작업의 정석,2005-12-21,2005,1.2142,5.917,54,10749|35,로맨스|코미디,100,전국민의 연애 지침서,0,0,Chungeorahm Film|Showbox,손예진(Han Ji-won)|송일국(Seo Min-jun)|노주현(Min-jun's Father)|현영(Ji-won's Friend)|박준규(CEO Bong)|안상태(Fortune Teller)|안선영(Oh Ji-yeong)|윤영준(Noh Do-chul)|김애경(Ms. Park)|금보라(Mrs. Jung),Oh Ki-hwan,adversary|romance|thief|grifter|cons and scams|serial dating,https://image.tmdb.org/t/p/original/6Uh7FIgyzBvcM3G9m9TIMMEmmdi.jpg
야수와 미녀,2005-10-27,0,0.0,1561282,54,2005,19,20050261,전체,839,야수와 미녀,2005-10-27,2005,1.1984,6.192,26,35|10749,코미디|로맨스,101,,0,0,Sio Film,류승범(Ku Dong-geon)|신민아(Jang Hae-ju)|김강우(Tak Jun-ha)|안길강(Choi Do-shik)|안상태(Jung-suk)|김병옥(Hae-ju's Father)|유다인(Art Gallery Guide)|함은정(Hae-mi)|윤종신(Plastic Surgeon)|Lee Young Sook(Hae-ju's Mother),Lee Kae-byeok,,https://image.tmdb.org/t/p/original/3VPb44405tS0oov3pGdOkf6P911.jpg
달콤한 인생,2005-04-01,0,0.0,1271595,82,2005,22,20050017,전체,101,달콤한 인생,2005-04-01,2005,3.7571,7.4,991,28|18|80,액션|드라마|범죄,120,"말해봐요, 정말 날 죽이려고 했어요?",0,7600000,Bom Film Productions|CJ Entertainment,이병헌(Sun-woo)|김영철(Mr. Kang)|신민아(Hee-soo)|김뢰하(Moon-seok)|이기영(Oh Moo-seong)|황정민(Mr. Baek)|에릭(Tae-goo)|오달수(Myeong-goo)|김해곤(Tae-woong)|김한(Se-yoon),김지운,buried alive|handlanger|revenge|fugitive|extramarital affair|romantic|enchant,https://image.tmdb.org/t/p/original/bo5882JREd8LjbziR8F0h7HuOLs.jpg
천군,2005-07-15,0,0.0,1232992,58,2005,24,20050141,전체,947,천군,2005-06-14,2005,1.0952,6.141,32,878|28|35,SF|액션|코미디,106,남북한 군대의 이순신_장군 만들기 프로젝트,8000000,0,Sidus|Showbox,박중훈(Yi Sun-shin)|김승우(Kang Min-gil)|황정민(Park Jung-woo)|공효진(Kim Su-yeon)|Kim Seung-cheol(Choi Gwang)|김병춘(Lee Hee-chul)|김수현(Won-hoon)|마동석(Hwang Sang-wook)|김구택(Ni Tang-kae)|Kim Ji-hyeon((uncredited)),Min Joon-ki,japanese invasion of korea|joseon dynasty (1392–1910)|korean army|inter-korean relations|yi sun-sin,https://image.tmdb.org/t/p/original/6xg3EcdFRQYLZ301NRbgT0NRTP6.jpg
새드무비,2005-10-20,0,0.0,1066765,87,2005,31,20050256,전체,640,새드무비,2005-10-20,2005,1.3,6.571,70,35|18|10749,코미디|드라마|로맨스,108,이별이 내립니다,0,0,iFilm|iLoveCinema|Lotte Entertainment,정우성(Lee Jin-woo)|임수정(Ahn Soo-jung)|차태현(Jung Ha-seok)|손태영(Choi Suk-hyun)|염정아(Yeom Ju-young)|여진구(Park Hee-chan)|신민아(Ahn Soo-eun)|이기우(Sang-gyu)|Kim Seung-cheol(Park Yoon-bok)|안길강(Red Tracksuit),권종관,,https://image.tmdb.org/t/p/original/2K7fO2JCb0n87PG1E5L09qlgjAA.jpg
남극일기,2005-05-19,0,0.0,1057311,78,2005,32,20050046,전체,914,남극일기,2005-05-19,2005,1.6006,6.066,61,27|53|9648,공포|스릴러|미스터리,114,남극 최초의 미스터리 | 그곳이 우리를 미치게 만들었다... | 인간을 압도하는 극한의 미스터리 | 남극은 그곳이 아니다... 그누구다!,0,6500000,Sidus|Mirovision|Showbox,송강호(Choi Do-hyung)|유지태(Kim Min-jae)|박희순(Lee Young-min)|윤제문(Kim Sung-hoon)|최덕문(Seo Jae-kyung)|강혜정(Lee Yu-jin)|김경익(Yang Geun-chan)|박정수(Ghost)|Ross Anderson|샘 해밍턴,임필성,expedition|survival|psychological|arctic|mystery,https://image.tmdb.org/t/p/original/9xpN3AGaC2ZzERLT5HPpwOQRVz3.jpg
오로라 공주,2005-10-27,0,0.0,946372,47,2005,34,20050271,전체,822,오로라 공주,2005-10-27,2005,1.4754,6.01,52,80|18|9648,범죄|드라마|미스터리,106,오로라 공주 스티커에 숨겨진 한 인간의 분노,0,0,Cinema Service|East Film|CJ Entertainment,엄정화(Jung Sun-jung)|문성근(Oh Sung-ho)|권오중(Detective Jung)|현영(Choi Sin-ok)|김용건(Na Jae-geun)|박효준(Jang Myung-gil)|장현성(Kim Woo-taek)|이대연(chief detective)|박광정(Coroner)|정만식(Detective Choi),방은진,,https://image.tmdb.org/t/p/original/xnPRHG6KJCjOn4TV6GFkeIC8w99.jpg
왕의 남자,2005-12-29,0,0.0,841496,79,2005,35,20050333,전체,634,왕의 남자,2005-12-29,2005,1.6079,6.965,115,18|36|53,드라마|역사|스릴러,119,"조선 최초의 궁중광대, 왕을 가지고 놀다",0,0,Cineworld|Cinema Service|Eagle Pictures,감우성(Jang-sang)|이준기(Gong-gil)|정진영(King Yeonsan)|강성연(Jang Nok-su)|유해진(Yuk-gab)|장항선(Cheo-sun)|정석용(Chil-duk)|이승훈(Pal-bok)|윤주상(Sung Hee-an)|최일화(Sung Jun),이준익,friendship|jealousy|gambling|suicide attempt|clown|palace|based on play or musical|historical figure|royalty|bromance|historical fiction|king|jester|joseon dynasty (1392–1910)|boys' love (bl)|bisexual|psychological romance,https://image.tmdb.org/t/p/original/9oucBWXrvBEelzUjPQheImlb8D1.jpg
외출,2005-09-07,0,0.0,809191,78,2005,37,20050220,전체,361,외출,2005-09-07,2005,2.0362,6.151,53,18|10749,드라마|로맨스,105,우리는... 사랑일까?,0,3153564,BlueStorm|Show East|Sponge,배용준(In-soo)|손예진(Seo-young)|임상효(Kang Su-jin)|Kim Kwang-il(Kwang-il)|유승목(Doctor)|이한위(In-soo's Senior)|안세호(Pharmacist)|전국환(Su-jin's Father)|손영순(Accident Victim's Mother)|김세동(Insurance Company Employee),허진호,,https://image.tmdb.org/t/p/original/l8OcqtnWUF3bbZJZLiX7sJ38PWF.jpg
파랑주의보,2005-12-22,0,0.0,321404,34,2005,47,20050332,전체,845,파랑주의보,2005-12-22,2005,2.0209,6.611,36,18|10749,드라마|로맨스,95,"전국 설레고 행복, 그리고 차차 첫사랑이 깊어지겠습니다.",0,0,iFilm|iLoveCinema,송혜교(Bae Soo-eun)|차태현(Kim Soo-ho)|이순재(Kim Man-geum)|김해숙(Soo-ho's Mother)|송창의(Park Jong-goo)|문정희(Soon-im)|박효준(Oh Sung-jin)|김신영(Soo-ho's Sister)|이문세(DJ)|김윤석(Biology Teacher),전윤수,love,https://image.tmdb.org/t/p/original/xXEiriyobpjWQcQuOL6mDBBJ3V6.jpg
괴물,2006-07-27,0,0.0,13019740,167,2006,1,20060151,전체,34,괴물,2006-07-27,2006,7.2056,7.0,3114,27|18|878,공포|드라마|SF,119,가족의 사투가 시작된다,11000000,88489643,Chungeorahm Film|Showbox,송강호(Park Gang-du)|변희봉(Park Hie-bong)|박해일(Park Nam-il)|배두나(Park Nam-joo)|고아성(Park Hyun-seo)|오달수(The Monster (voice))|이재응(Se-jin)|Lee Dong-ho(Se-joo)|윤제문(Homeless Man)|임필성(Fat Guevara),봉준호,"daughter|pollution|monster|river|bravery|sewerage|formaldehyde|snack bar|archer|family|asian origins|seoul, south korea|han river|amused|farcical|frightened",https://image.tmdb.org/t/p/original/tqDQzYGi1EWHgUZY91YRSJLDJVf.jpg
왕의 남자,2005-12-29,0,0.0,11461335,94,2006,2,20050333,전체,634,왕의 남자,2005-12-29,2005,1.6079,6.965,115,18|36|53,드라마|역사|스릴러,119,"조선 최초의 궁중광대, 왕을 가지고 놀다",0,0,Cineworld|Cinema Service|Eagle Pictures,감우성(Jang-sang)|이준기(Gong-gil)|정진영(King Yeonsan)|강성연(Jang Nok-su)|유해진(Yuk-gab)|장항선(Cheo-sun)|정석용(Chil-duk)|이승훈(Pal-bok)|윤주상(Sung Hee-an)|최일화(Sung Jun),이준익,friendship|jealousy|gambling|suicide attempt|clown|palace|based on play or musical|historical figure|royalty|bromance|historical fiction|king|jester|joseon dynasty (1392–1910)|boys' love (bl)|bisexual|psychological romance,https://image.tmdb.org/t/p/original/9oucBWXrvBEelzUjPQheImlb8D1.jpg
타짜,2006-09-28,0,0.0,6847777,147,2006,3,20060277,전체,181,타짜,2006-09-28,2006,2.6565,6.9,99,80|35,범죄|코미디,139,손은 눈보다 빠르다,0,39212715,CJ Entertainment|Sidus,조승우(Go-ni)|김혜수(Madam Jeong)|백윤식(Mr. Pyeong)|유해진(Ko Gwang-ryeol)|김응수(Kwak Cheol-yong)|김상호(Park Moo-seok)|김윤석(Ah-gwi)|주진모(Jjak-gwi)|김경익(Red Acid)|이수경(Hwa-ran),최동훈,gambling|gambler,https://image.tmdb.org/t/p/original/o1a5FULQTObsNbcgjapJtunpFzV.jpg
투사부일체,2006-01-19,0,0.0,6105431,93,2006,4,20050363,전체,284,투사부일체,2006-01-19,2006,3.3482,5.2,22,28|35|80,액션|코미디|범죄,124,당분간 이런 코미디는 없다!,0,30585589,Cinema Zenith Entertainment|CJ Entertainment,정준호(Gye Do-shik)|정웅인(Kim Sang-do)|정운택(Dae Ka-ri)|김상중(Oh Sang-jung)|Kang Sung-pil(Yang Dong-pal)|최윤영(Choi Na-young)|한효주(Yoo Mi-jung)|이수혁(Student)|하하(Jin-su)|박용식(Director),Kim Dong-won,,https://image.tmdb.org/t/p/original/rBnZFKZ4zsC7cB75IytqoZ05tyI.jpg
